新媒股份,300770,4.8,3.1,3.9,6.0,3.2,7.5
白云机场,600004,6.8,8.2,6.3,5.7,7.4,5.9
武钢股份,600005,6.2,6.6,4.7,7.2,7.1,5.8
东风汽车,600006,6.2,7.8,3.9,5.7,6.5,6.3
中国国贸,600007,6.7,7.4,6.0,5.7,6.3,7.0
首创股份,600008,6.0,7.5,3.8,5.6,7.0,5.8
上海机场,600009,6.5,8.6,3.7,5.8,7.4,6.1
包钢股份,600010,4.4,3.1,3.4,5.6,5.5,5.4
华能国际,600011,5.2,2.6,5.4,6.2,6.7,6.9
皖通高速,600012,5.8,6.2,5.5,6.1,6.5,5.0
华夏银行,600015,6.2,6.7,6.2,5.7,6.5,5.8
民生银行,600016,6.1,6.6,6.2,5.6,6.5,5.5
日照港,600017,5.4,7.2,2.2,5.6,6.0,5.6
上港集团,600018,5.9,6.3,6.6,5.7,6.0,4.9
宝钢股份,600019,6.0,6.8,6.4,5.9,5.5,5.1
中原高速,600020,5.0,4.6,2.4,5.8,6.5,6.5
上海电力,600021,6.2,6.6,6.1,5.7,6.7,5.8
山东钢铁,600022,5.1,5.3,3.4,5.5,5.5,5.9
浙能电力,600023,5.3,5.0,6.5,5.6,3.2,5.5
华能水电,600025,6.4,6.3,6.9,5.6,3.2,7.7
中远海能,600026,6.3,8.0,3.8,5.8,6.0,6.8
华电国际,600027,5.5,5.3,4.2,5.8,6.7,6.2
中国石化,600028,6.7,7.6,6.1,6.2,6.5,6.5
南方航空,600029,6.7,8.0,5.7,5.7,7.4,6.1
中信证券,600030,6.1,8.1,3.8,5.8,7.7,5.2
三一重工,600031,6.2,6.7,4.5,5.8,7.0,6.9
福建高速,600033,6.0,7.4,4.8,5.9,6.5,5.0
楚天高速,600035,5.5,5.0,5.3,6.2,6.5,5.3
招商银行,600036,6.0,6.0,5.3,5.6,6.5,6.4
歌华有线,600037,5.0,5.2,2.9,5.6,6.8,5.2
中直股份,600038,6.1,5.8,6.2,5.6,6.7,6.5
四川路桥,600039,5.5,6.0,2.6,5.8,6.3,6.8
保利地产,600048,5.5,5.2,4.7,5.7,6.3,6.2
中国联通,600050,5.8,7.2,3.3,5.7,6.8,5.7
宁波联合,600051,5.3,5.4,3.9,6.2,5.3,5.7
浙江广厦,600052,5.5,6.0,4.4,5.7,6.8,5.3
九鼎投资,600053,6.3,6.0,5.7,5.9,7.2,7.2
黄山旅游,600054,6.0,6.2,5.7,5.8,7.0,5.9
万东医疗,600055,5.9,6.6,5.2,5.8,7.2,5.3
中国医药,600056,5.3,5.9,2.4,6.1,7.0,5.9
厦门象屿,600057,6.1,6.0,5.7,5.6,6.8,6.7
五矿发展,600058,4.1,3.4,1.5,5.5,6.9,4.9
古越龙山,600059,5.7,7.3,2.9,6.1,8.0,4.8
海信电器,600060,5.0,5.8,1.5,5.8,6.3,5.9
国投资本,600061,6.4,6.9,6.7,5.9,7.7,5.2
华润双鹤,600062,5.8,5.4,4.1,5.6,7.1,7.2
皖维高新,600063,5.4,5.2,3.3,5.9,6.7,6.5
南京高科,600064,5.8,6.6,4.2,6.1,6.7,5.7
宇通客车,600066,6.0,6.6,6.2,5.6,6.5,5.3
冠城大通,600067,4.4,2.6,3.3,5.6,6.3,5.8
葛洲坝,600068,5.4,6.0,2.3,5.7,6.3,6.7
银鸽投资,600069,5.3,5.5,4.1,5.4,7.0,5.1
浙江富润,600070,5.5,5.8,3.7,5.6,6.2,6.1
凤凰光学,600071,6.2,8.3,3.2,5.8,7.0,6.2
中船科技,600072,5.4,5.6,2.8,5.6,6.7,6.5
上海梅林,600073,5.1,5.7,2.3,5.5,7.3,5.3
*ST保千,600074,4.3,3.8,3.0,4.9,7.8,4.2
新疆天业,600075,5.3,5.5,4.0,5.9,6.5,5.3
康欣新材,600076,6.1,7.2,4.9,5.7,5.0,6.6
宋都股份,600077,4.9,4.3,4.6,5.5,6.3,4.9
澄星股份,600078,5.5,6.3,2.9,6.2,6.5,5.6
人福医药,600079,6.5,8.0,4.9,5.5,7.1,6.2
金花股份,600080,4.8,4.8,2.5,5.7,7.0,5.4
